,Incident Zip,Sightings,City,Borough,Population,NTA
95,11106,90,ASTORIA,QUEENS,40198,Astoria
96,11234,89,BROOKLYN,BROOKLYN,89976,
97,10470,85,BRONX,BRONX,15390,
98,10471,80,BRONX,BRONX,22888,North Riverdale-Fieldston-Riverdale
99,10474,79,BRONX,BRONX,11280,Hunts Point
100,10305,78,STATEN ISLAND,STATEN ISLAND,42211,Stapleton-Rosebank
102,11223,77,BROOKLYN,BROOKLYN,80113,Gravesend
103,10301,77,STATEN ISLAND,STATEN ISLAND,40331,Grymes Hill-Clifton-Fox Hills
101,10037,77,NEW YORK,MANHATTAN,19138,Central Harlem North-Polo Grounds
104,10308,75,STATEN ISLAND,STATEN ISLAND,30075,
105,11210,70,BROOKLYN,BROOKLYN,63426,Flatlands
106,10304,70,STATEN ISLAND,STATEN ISLAND,44864,
107,10306,70,STATEN ISLAND,STATEN ISLAND,56232,
108,10010,69,NEW YORK,MANHATTAN,32410,Hudson Yards-Chelsea-Flatiron-Union Square
109,11691,68,FAR ROCKAWAY,QUEENS,70365,Far Rockaway-Bayswater
110,10310,67,STATEN ISLAND,STATEN ISLAND,26239,
111,11417,66,OZONE PARK,QUEENS,31200,
112,11432,65,JAMAICA,QUEENS,64268,Jamaica
113,11354,63,FLUSHING,QUEENS,53371,College Point
116,10038,63,MANHATTAN,MANHATTAN,23343,Battery Park City-Lower Manhattan
114,11420,63,SOUTH OZONE PARK,QUEENS,51153,
115,11369,63,EAST ELMHURST,QUEENS,32177,
117,10314,62,STATEN ISLAND,STATEN ISLAND,94355,
118,11357,61,WHITESTONE,QUEENS,42792,Whitestone
119,11433,61,JAMAICA,QUEENS,38865,Jamaica
120,11224,61,BROOKLYN,BROOKLYN,47893,West Brighton
123,10473,60,BRONX,BRONX,60087,Soundview-Castle Hill-Clason Point-Harding Park
121,11367,60,FLUSHING,QUEENS,43286,Kew Gardens Hills
122,11229,60,BROOKLYN,BROOKLYN,81109,Madison
124,10461,59,BRONX,BRONX,50868,Pelham Bay-Country Club-City Island
125,11418,57,RICHMOND HILL,QUEENS,38317,Richmond Hill
126,11416,53,OZONE PARK,QUEENS,27794,
127,10303,51,STATEN ISLAND,STATEN ISLAND,27083,Mariner's Harbor-Arlington-Port Ivory-Graniteville
128,10065,50,NEW YORK,MANHATTAN,30859,Upper East Side-Carnegie Hill
129,11419,46,SOUTH RICHMOND HILL,QUEENS,48096,
130,11412,42,SAINT ALBANS,QUEENS,40593,
131,10465,41,BRONX,BRONX,46311,Schuylerville-Throgs Neck-Edgewater Park
132,10022,38,NEW YORK,MANHATTAN,33586,Midtown-Midtown South
133,11434,38,JAMAICA,QUEENS,68182,Springfield Gardens North
134,11358,37,FLUSHING,QUEENS,37647,
135,10302,35,STATEN ISLAND,STATEN ISLAND,18567,
136,11414,35,HOWARD BEACH,QUEENS,30374,
137,11361,34,BAYSIDE,QUEENS,29544,Bayside-Bayside Hills
138,11370,34,EAST ELMHURST,QUEENS,28164,
139,11436,31,JAMAICA,QUEENS,21349,
140,11413,31,SPRINGFIELD GARDENS,QUEENS,44832,
141,11427,31,QUEENS VILLAGE,QUEENS,25187,
142,10018,27,NEW YORK,MANHATTAN,8659,Midtown-Midtown South
143,10017,23,NEW YORK,MANHATTAN,14486,Murray Hill-Kips Bay
144,11426,22,BELLEROSE,QUEENS,19733,
145,11421,21,WOODHAVEN,QUEENS,41552,Woodhaven
146,10464,20,BRONX,BRONX,4292,
147,11239,20,BROOKLYN,BROOKLYN,16808,
148,11429,19,QUEENS VILLAGE,QUEENS,27845,
149,10006,18,NEW YORK,MANHATTAN,3736,Battery Park City-Lower Manhattan
150,11423,17,HOLLIS,QUEENS,29921,
151,10007,16,NEW YORK,MANHATTAN,7506,SoHo-TriBeCa-Civic Center-Little Italy
152,10309,15,STATEN ISLAND,STATEN ISLAND,34740,
153,11364,15,OAKLAND GARDENS,QUEENS,38124,
154,11365,14,FRESH MEADOWS,QUEENS,46424,Fresh Meadows-Utopia
155,10004,14,NEW YORK,MANHATTAN,4579,Battery Park City-Lower Manhattan
156,11694,12,FAR ROCKAWAY,QUEENS,21788,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
157,11422,11,ROSEDALE,QUEENS,32296,
158,11356,11,COLLEGE POINT,QUEENS,27632,
159,10005,11,NEW YORK,MANHATTAN,8801,Battery Park City-Lower Manhattan
160,10475,10,BRONX,BRONX,43517,Co-op City
161,11004,9,GLEN OAKS,QUEENS,15702,
162,11411,9,CAMBRIA HEIGHTS,QUEENS,21329,
163,11360,8,BAYSIDE,QUEENS,19719,Ft. Totten-Bay Terrace-Clearview
164,11428,8,QUEENS VILLAGE,QUEENS,19554,
165,11415,8,KEW GARDENS,QUEENS,20315,Kew Gardens
166,11363,7,LITTLE NECK,QUEENS,7365,
167,11692,7,ARVERNE,QUEENS,24584,Hammels-Arverne-Edgemere
168,10069,6,NEW YORK,MANHATTAN,6259,Lincoln Square
169,11001,5,FLORAL PARK,QUEENS,26138,
170,11362,4,LITTLE NECK,QUEENS,18426,
171,11366,4,FRESH MEADOWS,QUEENS,13659,
172,10307,3,STATEN ISLAND,STATEN ISLAND,14755,Charleston-Richmond Valley-Tottenville
173,11693,3,FAR ROCKAWAY,QUEENS,13558,
174,10162,2,NEW YORK,MANHATTAN,1523,Lenox Hill-Roosevelt Island
175,10044,1,NEW YORK,MANHATTAN,11846,Lenox Hill-Roosevelt Island
176,11109,1,LONG ISLAND CITY,QUEENS,7280,Hunters Point-Sunnyside-West Maspeth
177,11430,1,JAMAICA,QUEENS,332,
